Ad_ID;Campaign_Name;Clicks;Impressions;Cost;Leads;Conversions;Conversion Rate;Sale_Amount;Ad_Date;Location;Device;Keyword
A1000;Data Analytics Course;1040;44980;23188;140;70;58;1892;16/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1001;Data Analytics Course;1730;51070;21684;100;80;46;1679;20/11/2024;Hyderabad;Mobile;Data Analytics Course
A1006;Data Analytics Course;1160;44800;23779;170;50;43;1640;06/11/2024;Hyderabad;Tablet;Data Analytics Course
A1007;Data Analytics Course;1840;50600;22961;230;30;16;1509;24/11/2024;Hyderabad;Tablet;Analytics For Data
A1009;Data Analytics Course;1660;33550;18678;240;90;54;1029;12/11/2024;Hyderabad;Mobile;Online Data Analytic
A1010;Data Analytics Course;1010;53990;23679;200;60;59;1900;14/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1011;Data Analytics Course;1010;36130;20812;240;50;5;1130;22/11/2024;Hyderabad;Desktop;Online Data Analytic
A1012;Data Analytics Course;1250;32590;1913;180;30;24;1959;27/11/2024;Hyderabad;Desktop;Data Analitics Online
A1013;Data Analytics Course;1960;37420;20746;100;70;38;1623;12/11/2024;Hyderabad;Mobile;Data Anaytics Training
A1014;Data Analytics Course;1810;43110;18509;110;90;5;1538;04/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1015;Data Analytics Course;1020;54610;20169;220;80;78;1755;29/11/2024;Hyderabad;Desktop;Data Analytics Course
A1017;Data Analytics Course;1490;44310;2074;190;90;6;1693;12/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1020;Data Analytics Course;1840;41430;2233;100;100;44;1735;21/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1021;Data Analytics Course;1710;41540;18423;300;70;41;1803;08/11/2024;Hyderabad;Tablet;Data Analitics Online
A1022;Data Analytics Course;1220;51870;21124;270;60;49;1322;20/11/2024;Hyderabad;Desktop;Online Data Analytic
A1023;Data Analytics Course;1880;57980;23017;280;50;47;1452;30/11/2024;Hyderabad;Tablet;Data Analytics Course
A1025;Data Analytics Course;880;33490;18192;220;80;91;1456;20/11/2024;Hyderabad;Tablet;Learn Data Analytics
A1026;Data Analytics Course;1190;53230;20592;170;100;6;1656;02/11/2024;Hyderabad;Desktop;Online Data Analytic
A1029;Data Analytics Course;860;33510;23775;210;90;105;1975;13/11/2024;Hyderabad;Mobile;Analytics For Data
A1030;Data Analytics Course;1880;48340;21358;150;40;21;1590;08/11/2024;Hyderabad;Tablet;Online Data Analytic
A1033;Data Analytics Course;1760;55090;23459;190;70;54;1710;03/11/2024;Hyderabad;Tablet;Data Analytics Course
A1035;Data Analytics Course;1040;52750;23648;160;90;31;1824;01/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1036;Data Analytics Course;1460;59390;2429;110;80;35;1833;07/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1038;Data Analytics Course;900;57860;19755;110;60;43;1704;16/11/2024;Hyderabad;Mobile;Online Data Analytic
A1039;Data Analytics Course;1710;43040;19261;170;100;58;1427;26/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1040;Data Analytics Course;940;55490;23123;250;90;96;1849;12/11/2024;Hyderabad;Mobile;Data Anaytics Training
A1043;Data Analytics Course;1450;37210;18095;210;70;48;1960;29/11/2024;Hyderabad;Desktop;Data Analitics Online
A1046;Data Analytics Course;1880;58570;22298;200;40;48;1303;11/11/2024;Hyderabad;Desktop;Data Anaytics Training
A1047;Data Analytics Course;1420;51030;2341;240;30;21;1835;08/11/2024;Hyderabad;Mobile;Analytics For Data
A1048;Data Analytics Course;1680;46530;24084;270;90;54;1367;24/11/2024;Hyderabad;Mobile;Online Data Analytic
A1049;Data Analytics Course;1100;35240;24886;190;100;91;1524;21/11/2024;Hyderabad;Mobile;Learn Data Analytics
A1050;Data Analytics Course;1920;59380;18284;260;50;39;1080;12/11/2024;Hyderabad;Mobile;Analytics For Data
A1051;Data Analytics Course;1010;39420;20662;160;50;5;1746;24/11/2024;Hyderabad;Tablet;Analytics For Data
A1052;Data Analytics Course;1570;33150;18956;150;100;64;1026;25/11/2024;Hyderabad;Mobile;Online Data Analytic
A1054;Data Analytics Course;960;31660;19615;290;70;73;1902;26/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1057;Data Analytics Course;1940;56550;20858;130;60;31;1692;16/11/2024;Hyderabad;Mobile;Data Anaytics Training
A1058;Data Analytics Course;1440;51400;21948;190;80;47;1054;18/11/2024;Hyderabad;Desktop;Data Analitics Online
A1060;Data Analytics Course;1660;52230;18976;180;70;42;1219;16/11/2024;Hyderabad;Tablet;Data Analytics Course
A1062;Data Analytics Course;1180;50160;20431;190;90;45;1833;08/11/2024;Hyderabad;Desktop;Analytics For Data
A1063;Data Analytics Course;1850;36170;22232;240;70;38;1963;23/11/2024;Hyderabad;Mobile;Data Analytics Course
A1064;Data Analytics Course;1160;37640;23203;280;100;86;1348;20/11/2024;Hyderabad;Tablet;Data Analytics Course
A1065;Data Analytics Course;990;44890;18373;150;60;61;1264;05/11/2024;Hyderabad;Desktop;Online Data Analytic
A1066;Data Analytics Course;1720;44410;22118;140;80;47;1771;27/11/2024;Hyderabad;Mobile;Analytics For Data
A1067;Data Analytics Course;1380;57510;19911;260;90;52;1337;10/11/2024;Hyderabad;Desktop;Data Analitics Online
A1068;Data Analytics Course;840;40360;23422;230;100;119;1287;04/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1069;Data Analytics Course;1240;49420;24059;180;30;24;1922;16/11/2024;Hyderabad;Desktop;Learn Data Analytics
A1070;Data Analytics Course;1220;49890;21548;120;50;41;1975;06/11/2024;Hyderabad;Mobile;Data Analitics Online
